id,SalePrice
1461,153717.97695033002
1462,114816.79714877513
1463,148091.21025717753
1464,185084.89128247343
1465,193362.88956665725
1466,212110.02567289135
1467,172116.0941264221
1468,178298.67167541938
1469,161985.0309636534
1470,199870.79217948712
1471,113595.00178156784
1472,173356.73837375047
1473,96881.45655611485
1474,94434.010300012
1475,145846.37862033522
1476,108401.90788810287
1477,369754.5542493246
1478,269359.8413458482
1479,259779.64070452846
1480,274859.2094800127
1481,474133.1137703631
1482,321287.1742855011
1483,213255.49137046357
1484,174741.6496187394
1485,166537.05200118333
1486,179231.81116246645
1487,190353.0197136366
1488,327770.94385330216
1489,238318.17736751147
1490,209578.1238469971
1491,250657.28039895272
1492,207760.2180459879
1493,97821.40791840861
1494,192209.82621123237
1495,291421.7738176334
1496,290093.1766452277
1497,242553.3060014241
1498,174174.40145005166
1499,179536.13401451573
1500,150976.5199271623
1501,143839.76716799417
1502,189958.9985976767
1503,132003.59585368907
1504,284186.5590192757
1505,241812.9679824929
1506,231891.8733300863
1507,187999.40689044195
1508,266649.22536541143
1509,200551.1619652164
1510,150423.19756964088
1511,147770.3861025121
1512,168750.28798305744
1513,184897.02128645228
1514,148480.27319765885
1515,172620.69587262318
1516,210830.060591488
1517,156434.4443382587
1518,175972.44599890773
1519,115891.28804646841
1520,221270.0351425823
1521,131775.04925583594
1522,133928.82243669018
1523,185647.96903021118
1524,109874.54273489695
1525,114552.45906462293
1526,123565.98056628938
1527,119295.66311831994
1528,104181.78770393689
1529,128272.29079041918
1530,153025.76665085417
1531,214880.9030427451
1532,131995.6861668821
1533,97319.15474873506
1534,162083.16614793535
1535,133310.81152073492
1536,159873.57084791685
1537,95059.91193605504
1538,55806.95518102053
1539,160536.29483245677
1540,203961.45439012875
1541,119886.43283101641
1542,131336.54777451121
1543,159134.36391908323
1544,203764.4838319543
1545,84852.97078093477
1546,133548.5131338474
1547,140407.09626669975
1548,140582.56554716584
1549,149376.76909215807
1550,125211.93453189757
1551,147122.11326016553
1552,118300.22609251324
1553,156742.00462181793
1554,153352.33657787112
1555,125381.30293049826
1556,164325.17946409906
1557,68385.07091933393
1558,146845.83332991842
1559,94958.98734055414
1560,54380.17533249481
1561,131501.13322771207
1562,142552.53274561002
1563,126708.82731940135
1564,123638.62761244178
1565,176349.9887926871
1566,147231.4047590312
1567,235220.6630843114
1568,69027.26483276309
1569,239618.21097570198
1570,128910.86615327411
1571,134056.89033251876
1572,88229.56923689171
1573,154941.47269952027
1574,258959.5026405098
1575,130130.01887714863
1576,236011.06962101156
1577,240361.1248851951
1578,176446.701669636
1579,156900.07736296678
1580,156776.66763065752
1581,191849.30233611213
1582,145997.94149807328
1583,134119.1405507131
1584,284786.3389363316
1585,227448.19006376044
1586,143128.71961400416
1587,68698.38204568852
1588,108656.34057196067
1589,152990.36457651627
